Absorption,Concentration
0.21332637,0.149048992
0.21280125,0.148682096
0.2163791,0.151181904
0.21264936,0.148575972
0.21283808,0.148707829
0.21213425,0.14821607
0.21658338,0.151324632
0.21290715,0.148756087
0.21357073,0.149219724
0.21748987,0.151957988
0.21505824,0.150259032
0.21223538,0.148286728
0.21525727,0.150398093
0.21628627,0.151117045
0.21474831,0.150042487
0.21486393,0.15012327
0.21698293,0.151603794
0.21642087,0.151211088
0.21335864,0.149071539
0.21979013,0.153565156
0.21696434,0.151590805
0.21697363,0.151597296
0.21423532,0.149684066
0.21230435,0.148334917
0.21860815,0.152739319
0.21774589,0.152136866
0.21210207,0.148193586
0.21328489,0.14902001
0.21778314,0.152162893
0.2093394,0.146263336
0.2114545,0.147741135
0.21713634,0.15171098
0.20946273,0.146349506
0.2115004,0.147773205
0.21049182,0.147068521
0.21131684,0.147644954
0.2172526,0.15179221
0.21201016,0.148129369
0.21266317,0.148585621
0.21251132,0.148479525
0.22224847,0.155282774
0.21266317,0.148585621
0.21745264,0.151931976
0.21688998,0.151538851
0.21218481,0.148251396
0.21367681,0.149293841
0.21455413,0.149906816
0.21758295,0.152023022
0.21245152,0.148437743
0.215943,0.150877205
0.21610533,0.150990624
0.21342318,0.149116632
0.21405061,0.149555011
0.22026758,0.153898746
0.21516006,0.150330173
0.2215997,0.154829485
0.2170573,0.151655755
0.21414295,0.149619528
0.21469282,0.150003717
0.21180343,0.147984929
0.21592445,0.150864245
0.21521561,0.150368985
0.21556294,0.150611661
0.21893486,0.152967588
0.21208369,0.148180744
0.21380599,0.149384098
0.20970035,0.146515528
0.21647194,0.15124677
0.21922911,0.153173177
0.20411434,0.142612639
0.21426303,0.149703427
0.21405061,0.149555011
0.21124803,0.147596877
0.21643016,0.151217579
0.21241472,0.148412031
0.21246532,0.148447385
0.21492406,0.150165282
0.21270459,0.148614561
0.20894226,0.145985859
0.21458649,0.149929425
0.21460036,0.149939116
0.21203773,0.148148632
0.21320194,0.148962054
0.21748056,0.151951483
0.21369526,0.149306732
0.21467895,0.149994026
0.20991523,0.146665663
0.21022631,0.146883011
0.21516932,0.150336643
0.21240093,0.148402397
0.21583173,0.150799462
0.20776209,0.145161286
0.21528505,0.150417502
0.20783945,0.145215336
0.21375523,0.149348632
0.21345545,0.149139179
0.21383367,0.149403438
0.21829101,0.152517736
0.21469744,0.150006945
0.21249752,0.148469883
0.21219401,0.148257824
0.21172995,0.14793359
0.21572048,0.150721733
0.21351078,0.149177838
0.20809895,0.145396646
0.21460036,0.149939116
0.21399521,0.149516304
0.21080331,0.147286155
0.21445708,0.149839008
0.21199178,0.148116528
0.21120216,0.147564828
0.21017597,0.146847839
0.21404137,0.149548555
0.20722547,0.144786355
0.21129849,0.147632133
0.20689382,0.144554634
0.21817913,0.152439567
0.20910198,0.146097453
0.21332176,0.149045771
0.21265396,0.148579186
0.2163234,0.151142987
0.20669405,0.144415057
0.2095998,0.146445275
0.21090872,0.147359804
0.21319273,0.148955619
0.21340013,0.149100528
0.20992437,0.146672049
0.21470207,0.15001018
0.21261255,0.148550253
0.2146096,0.149945572
0.21316508,0.1489363
0.21596155,0.150890166
0.21329872,0.149029673
0.20998383,0.146713593
0.21426303,0.149703427
0.21141779,0.147715486
0.21405984,0.14956146
0.2131098,0.148897677
0.21608677,0.150977656
0.21471132,0.150016643
0.21513229,0.15031077
0.21765743,0.15207506
0.22189576,0.155036339
