Absorption,
0.21223538,0.18580198
0.21525727,0.17666247
0.21628627,0.17091628
0.21474831,0.17919458
0.21486393,0.17671384
0.21698293,0.1792383
0.21642087,0.17093577
0.21335864,0.17409791
0.21979013,0.17944105
0.21696434,0.16923511
0.21697363,0.16813343
0.21423532,0.17373278
0.21230435,0.18075925
0.21860815,0.17127125
0.21774589,0.17317585
0.21210207,0.17552605
0.21328489,0.17846394
0.21778314,0.1799145
0.2093394,0.17669408
0.2114545,0.1812022
0.21713634,0.16611191
0.20946273,0.16201666
0.2115004,0.17643337
0.21049182,0.1836887
0.21131684,0.175463
0.2172526,0.16988812
0.21201016,0.16754107
0.21266317,0.17813477
0.21251132,0.17141566
0.22224847,0.17336011
0.21266317,0.17532118
0.21745264,0.17089288
0.21688998,0.17072526
0.21218481,0.17236528
0.21367681,0.1841025
0.21455413,0.17524241
0.21758295,0.17981101
0.21245152,0.17168509
0.215943,0.17554575
0.21610533,0.18042832
0.21342318,0.17806737
0.21405061,0.18223751
0.22026758,0.18177351
0.21516006,0.18174553
0.2215997,0.1679901
0.2170573,0.17744945
0.21414295,0.17161088
0.21469282,0.17093967
0.21180343,0.16783521
0.21592445,0.17764345
0.21521561,0.17718828
0.21556294,0.1760426
0.21893486,0.17628333
0.21208369,0.17783753
0.21380599,0.17356798
0.20970035,0.17238875
0.21647194,0.16946044
0.21922911,0.17973938
0.20411434,0.17602681
0.21426303,0.1741529
0.21405061,0.17956831
0.21124803,0.17669013
0.21643016,0.17298384
0.21241472,0.17278016
0.21246532,0.18061568
0.21492406,0.17488418
0.21270459,0.17782168
0.20894226,0.17251005
0.21458649,0.17809116
0.21460036,0.17722389
0.21203773,0.17092018
0.21320194,0.16951874
0.21748056,0.18282622
0.21369526,0.1779247
0.21467895,0.17649656
0.20991523,0.17105277
0.21022631,0.18315898
0.21516932,0.16806757
0.21240093,0.17545512
0.21583173,0.18435579
0.20776209,0.18314695
0.21528505,0.17477008
0.20783945,0.16985311
